System,Base URL,Category,Method,Endpoint,Description
Product Catalog,https://b2b.sangvish.com,Products,POST,/api/ai/search,Create / submit a new ai
Product Catalog,https://b2b.sangvish.com,Products,POST,/api/ai/refine,Create / submit a new ai
Product Catalog,https://b2b.sangvish.com,Products,GET,/api/ai/history,Get list of ai records
Product Catalog,https://b2b.sangvish.com,Products,GET,/api/ai/usage,Get list of ai records
Product Catalog,https://b2b.sangvish.com,Products,DELETE,/api/ai/history/:id,Delete ai by ID
Product Catalog,https://b2b.sangvish.com,Products,POST,/api/ai/chatbot,Create / submit a new ai
Product Catalog,https://b2b.sangvish.com,Products,GET,/api/ai/recommendations,Get list of ai records
User Authentication,https://b2b.sangvish.com,Auth & Session,POST,/api/auth/send-otp,Create / submit a new auth
User Authentication,https://b2b.sangvish.com,Auth & Session,POST,/api/auth/verify-otp,Create / submit a new auth
User Authentication,https://b2b.sangvish.com,Auth & Session,POST,/api/auth/register,Create / submit a new auth
User Authentication,https://b2b.sangvish.com,Auth & Session,POST,/api/auth/login,Create / submit a new auth
User Authentication,https://b2b.sangvish.com,Auth & Session,POST,/api/auth/forgot-password,Create / submit a new auth
User Authentication,https://b2b.sangvish.com,Auth & Session,POST,/api/auth/reset-password,Create / submit a new auth
User Authentication,https://b2b.sangvish.com,Auth & Session,POST,/api/auth/social-register,Create / submit a new auth
User Authentication,https://b2b.sangvish.com,Auth & Session,GET,/api/auth/social-urls,Get list of auth records
User Authentication,https://b2b.sangvish.com,Auth & Session,GET,/api/auth/google/callback,Get list of auth records
User Authentication,https://b2b.sangvish.com,Auth & Session,GET,/api/auth/facebook/callback,Get list of auth records
User Authentication,https://b2b.sangvish.com,Auth & Session,GET,/api/auth/linkedin/callback,Get list of auth records
User Authentication,https://b2b.sangvish.com,Auth & Session,GET,/api/auth/profile,Get list of auth records
User Authentication,https://b2b.sangvish.com,Auth & Session,PUT,/api/auth/update-profile,Update auth by ID
User Authentication,https://b2b.sangvish.com,Auth & Session,PUT,/api/auth/update-security,Update auth by ID
User Authentication,https://b2b.sangvish.com,Auth & Session,PUT,/api/auth/change-password,Update auth by ID
User Authentication,https://b2b.sangvish.com,Auth & Session,DELETE,/api/auth/delete-account,Delete auth by ID
User Authentication,https://b2b.sangvish.com,Auth & Session,PUT,/api/auth/update-profile-image,Update auth by ID
User Authentication,https://b2b.sangvish.com,Auth & Session,GET,/api/auth/wishlist,Get list of auth records
User Authentication,https://b2b.sangvish.com,Auth & Session,POST,/api/auth/wishlist/toggle,Create / submit a new auth
User Authentication,https://b2b.sangvish.com,Auth & Session,POST,/api/auth/become-supplier,Create / submit a new auth
User Authentication,https://b2b.sangvish.com,Auth & Session,GET,/api/auth/stats,Get list of auth records
User Authentication,https://b2b.sangvish.com,Auth & Session,GET,/api/auth/supplier/stats,Get list of auth records
User Authentication,https://b2b.sangvish.com,Auth & Session,GET,/api/auth/countries,Get list of auth records
User Authentication,https://b2b.sangvish.com,Auth & Session,GET,/api/auth/languages,Get list of auth records
User Authentication,https://b2b.sangvish.com,Auth & Session,GET,/api/auth/states/:countryCode,Get list of auth records
User Authentication,https://b2b.sangvish.com,Auth & Session,GET,/api/auth/user-info/:id,Get auth details by ID
User Authentication,https://b2b.sangvish.com,Auth & Session,GET,/api/auth/currencies,Get list of auth records
User Authentication,https://b2b.sangvish.com,Auth & Session,GET,/api/auth/business-types,Get list of auth records
User Authentication,https://b2b.sangvish.com,Auth & Session,GET,/api/auth/admin/users,Get list of auth records
User Authentication,https://b2b.sangvish.com,Auth & Session,POST,/api/auth/admin/users,Create / submit a new auth
User Authentication,https://b2b.sangvish.com,Auth & Session,PUT,/api/auth/admin/users/:id/status,Update auth by ID
